Location,Name,Frequency,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Power,Comment
0,KENWOOD CH01,446.006250,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH01
1,KENWOOD CH02,446.093750,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH02
2,KENWOOD CH03,446.031250,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH03
3,KENWOOD CH04,446.068750,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH04
4,KENWOOD CH05,446.043750,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH05
5,KENWOOD CH06,446.018750,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH06
6,KENWOOD CH07,446.081250,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH07
7,KENWOOD CH08,446.056250,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH08
8,KENWOOD CH09,446.006250,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH09
9,KENWOOD CH10,446.093750,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH10
10,KENWOOD CH11,446.031250,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH11
11,KENWOOD CH12,446.068750,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH12
12,KENWOOD CH13,446.043750,DTCS,88.5,88.5,132,NN,132,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH13
13,KENWOOD CH14,446.018750,DTCS,88.5,88.5,155,NN,155,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH14
14,KENWOOD CH15,446.056250,DTCS,88.5,88.5,134,NN,134,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH15
15,KENWOOD CH16,446.081250,DTCS,88.5,88.5,243,NN,243,Tone->Tone,NFM,12.50,0.5W,PMR446 Kenwood CH16
