Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Skip,Power,Comment
0,SAT ISS ITU1,145.800000,-,0.600000,,67.0,67.0,FM,5.00,,5.0W,international space station FM VOICE for ITU Region 1
1,SAT ISS ITU2,145.800000,-,1.310000,,67.0,67.0,FM,5.00,,5.0W,international space station FM VOICE for ITU Region 2&3
2,SAT ISS U/V,437.800000,split,145.990000,Tone,67.0,67.0,FM,5.00,,5.0W,international space station repeater 70cm/UHF
3,SAT ISS +15,145.800000,split,437.815000,,67.0,67.0,FM,5.00,,5.0W,
4,SAT ISS +10,145.800000,split,437.810000,,67.0,67.0,FM,5.00,,5.0W,
5,SAT ISS +05,145.800000,split,437.805000,,67.0,67.0,FM,5.00,,5.0W,
6,SAT ISS Mid,145.800000,split,437.800000,,67.0,67.0,FM,5.00,,5.0W,
7,SAT ISS -05,145.800000,split,437.795000,,67.0,67.0,FM,5.00,,5.0W,
8,SAT ISS -10,145.800000,split,437.790000,,67.0,67.0,FM,5.00,,5.0W,
9,SAT ISS -15,145.800000,split,437.785000,,67.0,67.0,FM,5.00,,5.0W,
10,SAT SO50 +15,436.810000,split,145.850000,Tone,67.0,67.0,FM,5.00,,5.0W,
11,SAT SO50 +10,436.805000,split,145.850000,Tone,67.0,67.0,FM,5.00,,5.0W,
12,SAT SO50 +05,436.800000,split,145.850000,Tone,67.0,67.0,FM,5.00,,5.0W,
13,SAT SO50 Act,436.795000,split,145.850000,Tone,74.4,74.4,FM,5.00,,5.0W,
14,SAT SO50 Mid,436.795000,split,145.850000,Tone,67.0,67.0,FM,5.00,,5.0W,
15,SAT SO50 -05,436.790000,split,145.850000,Tone,67.0,67.0,FM,5.00,,5.0W,
16,SAT SO50 -10,436.785000,split,145.850000,Tone,67.0,67.0,FM,5.00,,5.0W,
17,SAT SO50 -15,436.780000,split,145.850000,Tone,67.0,67.0,FM,5.00,,5.0W,
18,SAT AO91 -10,145.960000,split,435.240000,Tone,67.0,67.0,FM,5.00,,5.0W,
19,SAT AO91 -05,145.960000,split,435.245000,Tone,67.0,67.0,FM,5.00,,5.0W,
20,SAT AO91 Mid,145.960000,split,435.250000,Tone,67.0,67.0,FM,5.00,,5.0W,
21,SAT AO91 +05,145.960000,split,435.255000,Tone,67.0,67.0,FM,5.00,,5.0W,
22,SAT AO91 +10,145.960000,split,435.260000,Tone,67.0,67.0,FM,5.00,,5.0W,
23,SAT AO92 -10,145.880000,split,435.340000,Tone,67.0,67.0,FM,5.00,,5.0W,
24,SAT AO92 -05,145.880000,split,435.345000,Tone,67.0,67.0,FM,5.00,,5.0W,
25,SAT AO92 Mid,145.880000,split,435.350000,Tone,67.0,67.0,FM,5.00,,5.0W,
26,SAT AO92 +05,145.880000,split,435.355000,Tone,67.0,67.0,FM,5.00,,5.0W,
27,SAT AO92 +10,145.880000,split,435.360000,Tone,67.0,67.0,FM,5.00,,5.0W,
